# from http://www.stsci.edu/institute/smo/fellowships/hubble/fellows-list/
#
Joanne C. Baker 	Sydney - 1995 	University of California, Berkeley
Greg Bryan 	University of Illinois - 1996 	Massachusetts Institute of Technology
Marcio Catelan 	Smithsonian Astrophysical Observatory Paulo 1996 	Goddard Space Flight Center (yr 1) University of Virginia (yrs 2-3)
Roelof de Jong 	Groningen 1995 	University of Arizona
Bryan Gaensler 	Sydney - 1998 	Massachusetts Institute of Technology
Eva K. Grebel 	Bonn 1995 	University of Washington
Christian Knigge 	Oxford 1995 	Columbia University
Huan Lin 	Harvard University - 1995 	University of Arizona
Sangeeta Malhotra 	Princeton University - 1995 	Kitt Peak National Observatory (yr 1) The Johns Hopkins University (yrs 2-3)
Simon Portegies Zwart 	Utrecht 1997 	Boston University of (yrs 1-2) Massachusetts Institute of Technology (yr 3)
Chris Reynolds 	Cambridge 1996 	University of Colorado, JILA
Gordon Squires 	University of Toronto - 1995 	California Institute of Technology
Jennifer Wiseman 	Harvard University - 1995 	The Johns Hopkins University
Matias Zaldarriaga 	Massachusetts Institute of Technology - 1998
