'name', 'phd year', 'phd bibcode', 'phd aff','latest year','latest aff', 'latest 1st year','latest 1st aff', 'largest publication gap',                  'numRecords','numLinked', 'uniqueName', 'latest year unlinked',                  'noAstroJournal', 'nonUS'
Grall, R;; 1995;; 1995PhDT........22G;; UNIVERSITY OF CALIFORNIA, SAN DIEGO.;; None;; None;; None;; None;; None;; 15;; None;; None;; None;; True;; None
Casement, L;; 1995;; 1995PhDT........24C;; UNIVERSITY OF CALIFORNIA, LOS ANGELES.;; None;; None;; None;; None;; None;; 19;; None;; None;; None;; True;; None
Hellsten, U;; 1995;; 1995PhDT.......172H;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Herbert, L;; 1995;; 1995PhDT.......173H;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Hivon, E;; 1995;; 1995PhDT.......175H;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Hodder, P;; 1995;; 1995PhDT.......176H;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Hovest, W;; 1995;; 1995PhDT.......177H;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Wandeler, U;; 1995;; 1995PhDT.......181W;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Benhamidouche, N;; 1995;; 1995PhDT.......184B;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Wulff, A;; 1995;; 1995PhDT.......184W;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Bogun, S;; 1995;; 1995PhDT.......187B;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Boughaleb, H;; 1995;; 1995PhDT.......189B;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Bouziani, N;; 1995;; 1995PhDT.......190B;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Branchini, E;; 1995;; 1995PhDT.......191B;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Buchholz, B;; 1995;; 1995PhDT.......192B;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Miller, D;; 1995;; 1995PhDT.......192M;; THE UNIVERSITY OF ROCHESTER.;; None;; None;; None;; None;; None;; 94;; 1;; None;; None;; True;; None
Lee, G;; 1995;; 1995PhDT........24L;; THE JOHNS HOPKINS UNIVERSITY.;; None;; None;; None;; None;; None;; 47;; 13;; None;; None;; True;; None
Martins de moraes, A;; 1995;; 1995PhDT........24M;; RENSSELAER POLYTECHNIC INSTITUTE.;; None;; None;; None;; None;; None;; 1;; None;; None;; None;; True;; None
Belkora, L;; 1995;; 1995PhDT........25B;; UNIVERSITY OF COLORADO AT BOULDER.;; 1997;; UNIVERSITY OF COLORADO AT BOULDER.;; 1997;; None;; 2;; 24;; 14;; True;; 2011;; None;; None
Chen, C;; 1995;; 1995PhDT........25C;; RICE UNIVERSITY.;; 2016;; Earth Science, National Cheng Kung University, Tainan, Taiwan;;; 2016;; None;; 11;; 484;; 298;; False;; 2016;; None;; None
Kenny, H;; 1995;; 1995PhDT........25K;; UNIVERSITY OF CALGARY (CANADA).;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Merkowitz, S;; 1995;; 1995PhDT........25M;; THE LOUISIANA STATE UNIVERSITY AND AGRICULTURAL AND MECHANICAL COL.;; None;; None;; None;; None;; None;; 49;; None;; None;; None;; True;; None
Smegal, R;; 1995;; 1995PhDT........25S;; UNIVERSITY OF ALBERTA (CANADA).;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Gibson, B;; 1995;; 1995PhDT........26G;; THE UNIVERSITY OF BRITISH COLUMBIA (CANADA).;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Keller, A;; 1995;; 1995PhDT........26K;; THE UNIVERSITY OF IOWA.;; None;; None;; None;; None;; None;; 6;; None;; None;; None;; True;; None
Helfer, T;; 1995;; 1995PhDT........27H;; UNIVERSITY OF MARYLAND COLLEGE PARK.;; 2012;; University of Arizona;; 2004;; None;; 2;; 65;; 63;; True;; 2012;; None;; None
Kleinman, S;; 1995;; 1995PhDT........27K;; THE UNIVERSITY OF TEXAS AT AUSTIN.;; 2016;; University of Texas Austin;; 2014;; None;; 1;; 259;; 245;; True;; 2016;; None;; None
Metzler, C;; 1995;; 1995PhDT........27M;; THE UNIVERSITY OF MICHIGAN.;; None;; None;; None;; None;; None;; 19;; None;; None;; None;; True;; None
Spiczak, G;; 1995;; 1995PhDT........27S;; INDIANA UNIVERSITY.;; None;; None;; None;; None;; None;; 192;; 1;; None;; None;; True;; None
Huang, P;; 1995;; 1995PhDT.......178H;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Bard, S;; 1995;; 1995PhDT.......179B;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Beanland, S;; 1995;; 1995PhDT.......182B;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Wicenec, A;; 1995;; 1995PhDT.......183W;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Bury, P;; 1995;; 1995PhDT.......193B;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
garblegarblestring ;; 1995;; 1995PhDT.......194B;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
garblegarblestring ;; 1995;; 1995PhDT.......218M;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Lamb, D;; 1995;; 1995PhDT.......221L;; UNIVERSITY OF ALBERTA (CANADA).;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Lagorceix, H;; 1995;; 1995PhDT.......235L;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Legrand, D;; 1995;; 1995PhDT.......237L;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Caliskan, H;; 1995;; 1995PhDT.......240C;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
garblegarblestring ;; 1995;; 1995PhDT.......240L;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Liang, H;; 1995;; 1995PhDT.......241L;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Carretta, E;; 1995;; 1995PhDT.......242C;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Lindgren, M;; 1995;; 1995PhDT.......242L;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
garblegarblestring ;; 1995;; 1995PhDT.......243C;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Linkemann, J;; 1995;; 1995PhDT.......243L;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Lipman, K;; 1995;; 1995PhDT.......244L;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Cid, R;; 1995;; 1995PhDT.......245C;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Loudagh, S;; 1995;; 1995PhDT.......245L;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Cinzano, P;; 1995;; 1995PhDT.......246C;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Lupini, F;; 1995;; 1995PhDT.......246L;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Cuevas, E;; 1995;; 1995PhDT.......248C;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Sabalisck, N;; 1995;; 1995PhDT.......291S;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Samain, E;; 1995;; 1995PhDT.......292S;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Sambruna, R;; 1995;; 1995PhDT.......293S;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Schmidt, H;; 1995;; 1995PhDT.......296S;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
garblegarblestring ;; 1995;; 1995PhDT.......298S;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Scotti, G;; 1995;; 1995PhDT.......300S;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Siddiqui, H;; 1995;; 1995PhDT.......303S;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Silva, L;; 1995;; 1995PhDT.......304S;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Sugahara, Y;; 1995;; 1995PhDT.......308S;; -;; None;; None;; None;; None;; None;; None;; None;; None;; None;; None;; True
Xin, J;; 1995;; 1995PhDT.........3X;; UNIVERSITY OF ILLINOIS AT CHICAGO.;; None;; None;; None;; None;; None;; 7;; None;; None;; None;; True;; None
Yuan, Y;; 1995;; 1995PhDT.........3Y;; COLUMBIA UNIVERSITY.;; None;; None;; None;; None;; None;; 81;; 1;; None;; None;; True;; None
Zeng, J;; 1995;; 1995PhDT.........3Z;; UNIVERSITY OF ALASKA FAIRBANKS.;; None;; None;; None;; None;; None;; 28;; 1;; None;; None;; True;; None
Comeaux, K;; 1995;; 1995PhDT.........4C;; STANFORD UNIVERSITY.;; None;; None;; None;; None;; None;; 2;; None;; None;; None;; True;; None
